1,0.0
2,1.0
3,2.66718
4,4.83053
5,7.39944
6,10.28446
7,13.48527
8,16.90638
9,20.57001
10,24.43697
11,28.49022
12,32.69072
13,37.03546
14,41.56528
15,46.16104
16,50.99199
17,55.80784
18,60.81968
19,65.9144
20,71.0914
21,76.39562
22,81.7913
23,87.21772
24,92.82982
25,98.47521
26,104.11526
27,109.97194
28,115.82247
29,121.72714
30,127.67436
31,133.75907
32,139.85105
33,145.94166
34,152.32759
35,158.6438
36,164.88298
37,171.35849
38,177.85387
39,184.19765
40,190.85933
41,197.44365
42,203.88684
43,210.87788
44,217.61847
45,224.17399
46,231.24163
47,238.0566
48,244.92225
49,252.11275
50,258.99146
