1,0.0
2,1.0
3,2.66716
4,4.87519
5,7.53755
6,10.57385
7,13.96336
8,17.63815
9,21.60134
10,25.81887
11,30.26338
12,34.91097
13,39.77322
14,44.81585
15,50.06417
16,55.3718
17,60.94168
18,66.64958
19,72.46167
20,78.37754
21,84.57733
22,90.65256
23,97.13232
24,103.61494
25,110.04796
26,116.78724
27,123.68603
28,130.63693
29,137.5606
30,144.54804
31,151.81031
32,158.96154
33,166.33824
34,173.94755
35,181.31555
36,189.04167
37,196.57576
38,204.38901
39,212.23361
40,220.04217
41,228.38478
42,236.0529
43,244.21624
44,252.31976
45,260.99974
46,269.17187
47,277.40269
48,285.81114
49,294.70544
50,303.06366
51,311.85497
52,320.52864
53,329.30176
54,338.30933
55,347.09636
56,355.71296
57,364.69893
58,373.67407
59,383.2921
60,392.51054
61,401.35342
62,410.94635
63,419.81608
64,429.17031
65,438.90366
66,448.11387
67,457.79772
68,466.98379
69,476.34833
70,486.30889
71,496.12609
72,505.34346
73,515.26191
74,525.29516
75,535.04441
76,544.82043
77,554.74918
78,564.77654
79,574.53382
80,584.66416
81,595.14198
82,605.10525
83,614.74651
84,625.29242
85,635.4032
86,646.53403
87,656.37512
88,666.24609
89,677.29919
90,686.99462
91,697.74827
92,708.29459
93,718.85395
94,729.07739
95,740.10626
96,751.37642
97,761.72516
98,772.88308
99,782.32272
100,793.29947
101,804.68639
102,815.15425
103,825.95514
104,837.33667
105,847.37332
106,858.24583
107,869.2765
108,880.82057
109,891.52059
110,902.77418
111,914.28468
112,926.05199
113,936.51681
114,947.07672
115,958.12409
116,970.06824
117,981.14094
118,992.66574
119,1003.13515
120,1014.99139
121,1026.50959
122,1038.08277
123,1048.90362
124,1060.94632
125,1072.08679
126,1084.16934
127,1096.25385
128,1107.34897
129,1117.70342
130,1130.44121
131,1142.10964
132,1152.58791
133,1165.43721
134,1175.59508
135,1189.52345
136,1201.36182
137,1212.11814
138,1223.55114
139,1237.00898
140,1248.75403
141,1259.78912
142,1271.66959
143,1283.62241
144,1296.33357
145,1307.13474
146,1319.76042
147,1331.86048
148,1344.12091
149,1355.91783
150,1369.08334
151,1379.91065
152,1391.55955
153,1404.29752
154,1417.31682
155,1429.00675
156,1441.99249
157,1453.11029
158,1465.30573
159,1477.79993
160,1491.87855
161,1503.03931
162,1515.07322
163,1527.37684
